BINOMIAL,AOH_name,is.migratory,excluded,Order_,F2019_Iucn_Red_List_Category,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Dyaphorophyia blissetti,Dyaphorophyia_blissetti,no,no,PASSERIFORMES,LC,0.910765548221016,0,0,No
Garrulus bispecularis,Garrulus_bispecularis,no,no,PASSERIFORMES,LC,0.218201785618012,0,0,No
Foulehaio carunculatus,Foulehaio_carunculatus,no,no,PASSERIFORMES,LC,0.798375901949953,0,0,No
Laniarius sublacteus,Laniarius_sublacteus,no,no,PASSERIFORMES,LC,0.909263631755016,0,0,No
Myzomela obscura,Myzomela_obscura,no,no,PASSERIFORMES,LC,0.91277887029802,1,210,Yes
Melaniparus leucomelas,Melaniparus_leucomelas,no,no,PASSERIFORMES,LC,0.966855633510794,0,0,No
Hydrornis caeruleus,Hydrornis_caeruleus,no,no,PASSERIFORMES,NT,0.934692476883081,0,0,No
Terpsiphone rufiventer,Terpsiphone_rufiventer,no,no,PASSERIFORMES,LC,0.835718711477194,0.88,25,Yes
Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa,no,no,PASSERIFORMES,LC,0.565356609721245,0.920365535248042,766,Yes
Alaemon alaudipes,Alaemon_alaudipes,no,no,PASSERIFORMES,LC,0.983434854398099,1,53,Yes
Alopochelidon fucata,Alopochelidon_fucata,yes,no,PASSERIFORMES,LC,0.648079624987631,0.973333333333333,75,Yes
Ammomanes phoenicura,Ammomanes_phoenicura,yes,no,PASSERIFORMES,LC,0.790227391684397,0.988235294117647,255,Yes
Anthochaera chrysoptera,Anthochaera_chrysoptera,no,no,PASSERIFORMES,LC,0.496495992323297,0.989498249708285,857,Yes
Anthoscopus flavifrons,Anthoscopus_flavifrons,no,no,PASSERIFORMES,LC,0.741207241150161,0,0,No
Apalis jacksoni,Apalis_jacksoni,no,no,PASSERIFORMES,LC,0.217897013873555,0,0,No
Aphelocephala leucopsis,Aphelocephala_leucopsis,no,no,PASSERIFORMES,LC,0.401656450030051,0.853658536585366,82,Yes
Aphelocoma unicolor,Aphelocoma_unicolor,no,no,PASSERIFORMES,LC,0.513856986666148,1,20,Yes
